time,PM1,PM2.5,PM10,BM680 Temp,BM680 Gas,BM680 Humidity,BM680 Pressure,BM680 Altitude
2 / 28 / 2025,8,10,11,24.972578125,38387,40.38570611358921,1001.444068614724,98.75939437575688
2 / 28 / 2025,8,11,12,24.996796875,39843,40.503624159809824,1001.4505982974707,98.70451209578441
2 / 28 / 2025,8,11,12,25.020625,41610,40.676277485271456,1001.4362910982704,98.82476513279587
2 / 28 / 2025,8,11,12,25.045625,43242,40.85533851886587,1001.4385183536383,98.80604480001452
2 / 28 / 2025,8,11,12,25.0692578125,44778,40.99791946669369,1001.4330937955283,98.85163888218742
2 / 28 / 2025,8,11,12,25.0891796875,48401,41.14022679881462,1001.4292330558883,98.88408899841167
2 / 28 / 2025,8,11,12,25.11203125,49768,41.276889560589396,1001.4281013405745,98.89360126057394
2 / 28 / 2025,8,11,11,25.133125,51184,41.41348122508618,1001.4334202658539,98.84889485304586
2 / 28 / 2025,7,10,10,25.1555859375,52778,41.587015026619184,1001.424318652892,98.92539546531063
2 / 28 / 2025,7,10,10,25.1778515625,54340,41.79131791603039,1001.4259442065988,98.91173236733003
2 / 28 / 2025,7,10,10,25.201875,55821,41.95932274303908,1001.4174350461307,98.98325373034203
2 / 28 / 2025,7,10,10,25.223359375,57722,42.09043362672862,1001.417837423491,98.97987164914984
2 / 28 / 2025,7,10,10,25.2438671875,59555,42.0927346272486,1001.4167147349767,98.98930812642162
2 / 28 / 2025,7,11,11,25.26671875,60746,42.05238185247134,1001.4155665541762,98.99895888157975
2 / 28 / 2025,7,11,11,25.2907421875,62160,42.06120701587927,1001.4144040605387,99.00872994894466
2 / 28 / 2025,7,11,11,25.3153515625,63825,42.03331548771843,1001.4141526414728,99.0108431940901
2 / 28 / 2025,7,11,11,25.339765625,64811,42.036053855054824,1001.4062356467273,99.0773878926293
2 / 28 / 2025,7,11,11,25.3614453125,66124,42.05687885425458,1001.4069290905438,99.07155927381778
2 / 28 / 2025,8,12,12,25.383125,66979,42.08997302724593,1001.4186586600529,98.97296895623242
2 / 28 / 2025,9,12,12,25.40421875,68541,42.172090309305275,1001.4110757230656,99.03670555901029
2 / 28 / 2025,9,12,12,25.42609375,69956,42.22364879623419,1001.4139075197605,99.01290350868847
2 / 28 / 2025,8,11,11,25.445625,70970,42.25040411452978,1001.4130830710735,99.01983322692763
2 / 28 / 2025,7,11,11,25.467109375,72607,42.27124561817407,1001.4153020443135,99.00118215632696
2 / 28 / 2025,7,11,11,25.488984375,73948,42.212320460236114,1001.4218081194765,98.94649702674211
2 / 28 / 2025,7,11,11,25.507734375,74954,42.17760727030849,1001.4271205436718,98.90184503452977
2 / 28 / 2025,7,10,10,25.5278515625,75792,42.14918964084194,1001.436403308713,98.82382199055388
2 / 28 / 2025,7,10,10,25.5481640625,76984,42.16375006985405,1001.4239073554613,98.92885250379851
2 / 28 / 2025,7,10,10,25.567109375,78492,42.1597471591942,1001.41479810963,99.0054178607837
2 / 28 / 2025,7,9,9,25.58703125,79269,42.07609340744609,1001.4200909915446,98.96092987286127
2 / 28 / 2025,7,9,9,25.6059765625,80134,42.053689483553065,1001.409137476187,99.05299710239542
2 / 28 / 2025,7,9,9,25.624921875,81167,42.049686637118484,1001.4055432512708,99.08320770289508
2 / 28 / 2025,8,10,10,25.64328125,82151,42.05175150441815,1001.4028743232967,99.10564094590013
2 / 28 / 2025,8,10,10,25.6591015625,83316,42.09647325759012,1001.4017675291091,99.11494393987691
2 / 28 / 2025,8,10,10,25.6747265625,84434,42.06142313677071,1001.4003551353005,99.12681561811473
2 / 28 / 2025,7,9,9,25.6891796875,86083,41.977189948813006,1001.3952744837366,99.16952043499616
2 / 28 / 2025,7,9,9,25.7040234375,86847,41.86852863953146,1001.3926421105518,99.1916466060069
2 / 28 / 2025,7,9,9,25.7188671875,87537,41.8150544861907,1001.3992118783121,99.13642511445768
2 / 28 / 2025,7,10,10,25.733125,88861,41.75540627602085,1001.403027053393,99.10435719643831
2 / 28 / 2025,8,11,11,25.74328125,90411,41.60964245954948,1001.4078119187272,99.06413882308766
2 / 28 / 2025,8,11,11,25.755,91348,41.427503707903846,1001.4076686797856,99.06534279143752
2 / 28 / 2025,8,11,12,25.7696484375,91728,41.25809477298817,1001.4010459851402,99.12100877490164
