Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745617708.66,0,0,28.8,0.0,2.0,2.0,16.943671875,41.53608878138151,1004.4468065669171,73.55176190139134,195927.4
1745617713.68,0,0,31.0,0.0,1.2,1.2,16.777695312499997,41.97238541499507,1004.4840913597567,73.23914276225199,196394.2
1745617718.66,0,0,24.4,0.0,1.2,1.2,16.7026953125,42.334176104224106,1004.4864672903947,73.21922182989199,196770.6
1745617723.7,0,0,28.0,0.0,1.0,1.0,16.678945312499998,42.62171913655298,1004.4877196519162,73.20872147873635,196413.2
1745617728.66,0,0,27.2,0.0,1.0,1.0,16.7158203125,42.81763518774663,1004.5006685847632,73.10015250260275,195772.8
1745617733.67,0,0,27.2,0.0,0.6,0.6,16.7978515625,42.936835104417646,1004.5085816034264,73.03380720952603,196414.4
1745617738.66,0,0,28.4,0.0,0.6,0.6,16.886796874999998,43.078547910442865,1004.5338035780857,72.8223414098793,196746.8
1745617743.69,0,0,34.0,0.0,0.0,0.0,16.9091015625,43.13987973828479,1004.6032296406031,72.240282127145,197148.8
1745617748.66,0,0,30.2,0.0,0.0,0.0,16.861484375,43.12278769892326,1004.6517711713666,71.83333276257534,197506.2
1745617753.71,0,0,32.6,0.0,0.6,0.6,16.772617187499996,43.11576647911189,1004.6728458010908,71.65665818797736,198184.0
1745617758.69,0,0,34.6,0.0,0.6,0.6,16.731679687499998,43.163175534507204,1004.6793507401029,71.60212610968799,198206.6
1745617763.72,0,0,28.8,0.0,1.0,1.0,16.6908984375,43.225057688632475,1004.692652807181,71.49061370102336,198362.6
1745617768.66,0,0,27.2,0.0,1.0,1.0,16.643515625,43.313961907295905,1004.6915402783754,71.49993996939388,198569.2
1745617773.69,0,0,28.2,0.0,1.0,1.0,16.6328125,43.41404335412189,1004.690658989846,71.50732789483139,198748.4
1745617778.66,0,0,24.2,0.0,1.0,1.0,16.647343749999997,43.504808832816806,1004.6951387833539,71.46977358243271,198612.0
1745617783.68,0,0,24.2,0.0,1.0,1.0,16.640234375,43.56677405646583,1004.7126305252492,71.32314082140641,198748.4
1745617788.66,0,0,26.6,0.0,1.0,1.0,16.533632812499995,43.66762005358145,1004.6934738993407,71.4837308386551,199525.8
1745617793.69,0,0,29.2,0.0,1.0,1.0,16.3982421875,43.923720062693235,1004.6457617970858,71.8837114166165,198818.2
1745617798.67,0,0,28.8,0.0,1.0,1.0,16.3035546875,44.272893993472366,1004.605652119552,72.21997105996208,198595.8
1745617803.69,0,0,31.4,0.8,1.0,1.0,16.311640625,44.51009848975931,1004.5835987427392,72.40486001181064,197889.4
1745617808.67,0,0,31.4,0.8,1.0,1.0,16.3851953125,44.74871359503274,1004.5727642125321,72.49569488581604,197867.2
1745617813.66,0,0,34.0,1.0,1.0,1.0,16.3851953125,44.74871359503274,1004.5727642125321,72.49569488581604,197867.2
1745617818.67,0,0,25.4,1.0,1.0,1.0,16.49515625,44.96248243942323,1004.5775552285055,72.45552770705713,197642.6
1745617823.69,0,0,26.4,0.0,0.0,0.0,16.6440234375,45.06030595166108,1004.5755406683132,72.4724174491975,197754.4
1745617828.66,0,0,28.4,0.0,0.0,0.0,16.815351562500002,44.93547325140806,1004.5803713187512,72.43191812261014,199548.4
1745617833.69,0,0,33.0,0.0,0.2,0.2,16.8982421875,44.641829591928264,1004.5790018151081,72.4434000982042,200374.6
1745617838.65,0,0,33.0,0.0,0.2,0.2,16.921328125,44.35424520005863,1004.5293894252543,72.85935119705606,200813.8
1745617843.69,0,0,32.6,0.0,1.0,1.0,16.999140625,44.18085976258015,1004.4378137591727,73.62716470105474,200284.4
1745617848.71,0,0,29.8,0.0,1.0,1.0,17.1387109375,44.085750403549966,1004.398974170862,73.95282948506488,201185.0
1745617853.73,0,0,27.4,0.4,1.4,1.4,17.263046874999997,44.01808516024712,1004.3813376681867,74.10071313959061,200539.0
1745617858.68,0,0,28.8,0.4,1.4,1.4,17.404804687499997,43.957171851873355,1004.3752640116257,74.15164184837495,200767.2
1745617863.69,0,0,25.8,0.2,1.8,2.0,17.5585546875,43.84070202668941,1004.378973599549,74.12053633035892,200513.0
1745617868.67,0,0,33.2,0.2,1.8,2.0,17.718125,43.7116182280167,1004.3918857064771,74.01226670945036,200653.0
1745617873.68,0,0,27.2,0.6,1.6,2.0,17.860859375,43.571119525759855,1004.4099351403169,73.86092154397188,201512.6
1745617878.66,0,0,28.0,0.6,1.6,2.0,17.990859375,43.34724449647494,1004.4130153895605,73.83509378046418,202146.0
1745617883.68,0,0,34.4,1.0,2.4,3.0,18.068085937499998,43.076968155339934,1004.3986963886122,73.95515870275763,203279.2
1745617888.64,0,0,34.4,1.0,2.4,3.0,18.039921874999997,42.82348926148508,1004.3627327473675,74.25672005745821,203925.2
1745617893.69,0,0,31.8,1.0,3.0,3.0,17.9827734375,42.60579203231431,1004.3191465563881,74.62220913866838,204405.0
1745617898.65,0,0,22.8,1.0,3.0,3.0,17.9456640625,42.36774376108828,1004.2562698371112,75.14948145170686,205807.8
1745617903.69,0,0,27.8,1.0,2.4,3.0,17.992031249999997,42.125689281569976,1004.1963393347717,75.65206954895987,204861.6
1745617908.66,0,0,31.4,1.0,2.4,3.0,18.06640625,41.934758566860914,1004.1848652948986,75.74829576777788,204980.0
1745617913.69,0,0,28.6,0.6,1.6,2.2,18.16,41.81658373061924,1004.1841296963858,75.75446487435565,205976.4
1745617918.66,0,0,28.2,0.6,1.6,2.2,18.279921875,41.63431821775288,1004.1858485852033,75.7400494609041,206368.0
1745617923.74,0,0,31.4,0.8,1.8,1.8,18.4013671875,41.37838821798087,1004.1851900690448,75.7455722065607,206984.0
1745617928.66,0,0,30.2,0.8,1.8,1.8,18.4866015625,41.153567083486564,1004.146280347144,76.07189359321116,207871.2
1745617933.69,0,0,29.4,1.0,1.4,1.4,18.5409375,41.04961851459404,1004.1159674659132,76.3261230472121,206613.8
1745617938.66,0,0,33.0,1.0,1.4,1.4,18.62578125,41.02627227491609,1004.0780683987994,76.64398549750116,207277.4
1745617943.68,0,0,33.0,0.0,1.0,1.0,18.6693359375,40.95578778633436,1004.0471500403976,76.90330736897033,207676.4
1745617948.65,0,0,35.4,0.0,1.0,1.0,18.6693359375,40.95578778633436,1004.0471500403976,76.90330736897033,207676.4
1745617953.7,0,0,29.4,0.8,1.8,1.8,18.6939453125,40.83697141796482,1004.0349911232668,77.00528962607488,207600.8
1745617958.67,0,0,28.8,0.8,1.8,1.8,18.711835937500002,40.65337018154598,1004.0265740309158,77.07588831565121,208145.4
1745617963.7,0,0,32.8,1.0,2.0,2.0,18.73109375,40.51757875914343,1004.0121200614907,77.19712249198206,208346.8
1745617968.67,0,0,33.6,1.0,2.0,2.0,18.73296875,40.46198371157573,1004.0138406211657,77.18269101696384,209147.2
1745617973.77,0,0,30.4,1.0,2.0,2.0,18.746328124999998,40.43250479335991,1004.0231605359926,77.1045191823092,209727.8
